   i    j      cc  nref
   1   71  0.1568 7777
   1   72  0.1613 7720
   1   73  0.1697 7779
   1   74  0.1881 7769
   1   75  0.9590 6525
   1   76  0.1531 7774
   1   77  0.1686 7772
   1   78  0.1424 7787
   1   79  0.1373 7787
   1   80  0.1334 7742
   1   81  0.6664 7040
   1   82  0.1751 7787
   1   83  0.1469 7785
   1   84  0.1431 7753
   1   85  0.1784 7772
   1   86  0.1903 7786
   1   87  0.1524 7780
   1   88  0.1384 7787
   1   89  0.1383 7741
   1   90  0.1406 7786
   1   91  0.1831 7753
   1   92  0.1418 7777
   1   93  0.1786 7777
   1   94  0.1446 7720
   1   95  0.1641 7788
   1   96  0.1634 7782
   1   97  0.1649 7786
   1   98  0.1447 7774
   1   99  0.1306 7741
   1  100  0.1900 7772
   1  101  0.1693 7714
   1  102  0.6392 7787
   1  103  0.1663 7786
   1  104  0.1410 7788
   1  105  0.1491 7787
   1  106  0.1549 7784
   1  107  0.1659 7786
   1  108  0.1635 7785
   1  109  0.1475 7756
   1  110  0.1829 7785
   1  111  0.1779 7744
   1  112  0.1595 7748
   1  113  0.6413 3535
   1  114  0.1388 7740
   1  115  0.1759 7773
   1  116  0.1562 7787
   1  117  0.1502 7778
   1  118  0.1856 7785
   1  119  0.2024 7455
   1  120  0.9252 7768
   1  121  0.1848 7786
   1  122  0.1380 7785
   1  123  0.8344 7632
   1  124  0.8329 7579
   1  125  0.6979 7786
   1  126  0.9655 7781
   1  127  0.1570 7414
   1  128  0.1460 7411
   1  129  0.1542 7642
   1  130  0.1462 7686
   1  131  0.5390 7767
   1  132  0.9778 7770
   1  133  0.9708 7787
   1  134  0.7567 7781
   1  135  0.7538 7784
   1  136  0.6363 7703
   1  137  0.6370 7704
   1  138  0.1306 7773
   1  139  0.1317 7774
   1  140  0.7276 7776
   1  141  0.7264 7607
   1  142  0.1709 7787
   1  143  0.1658 7373
   1  144  0.6427 7259
   1  145  0.6398 7262
   2    3  0.9610 11221
   2    4  0.9880 11227
   2    5  0.1632 7990
   2    6  0.1300 6732
   2    7  0.9728 11172
   2    8  0.1737 7425
   2    9  0.2020  404
   2   10  0.9408 11117
   2   11  0.9550 11223
   2   12  0.9580 11204
   2   13  0.9613 11234
   2   14  0.9623 11233
   2   15  0.8876 10959
   2   16  0.9325 10940
   2   17  0.9548 11147
   2   18  0.9492 11121
   2   19  0.9733 11223
   2   20  0.9476 11226
   2   21  0.8870 10911
   2   22  0.8858 10879
   2   23  0.8235 3027
   2   24  0.9675 11167
   2   25  0.9505 11210
   2   26  0.9731 11221
   2   27  0.9793 11141
   2   28  0.9457 11175
   2   29  0.9314 10375
   2   30  0.8841 10809
   2   31  0.9408 10970
   2   32  0.9119 10897
   2   33  0.9126 11232
   2   34  0.9335 11046
   2   35  0.9735 11228
   2   36  0.9789 10451
   2   37  0.9666 11225
   2   38  0.7334 6982
